S I R
998.790 1.105 0.105
998.558 1.221 0.221
998.302 1.349 0.350
998.019 1.490 0.491
997.706 1.646 0.648
997.361 1.818 0.821
996.980 2.008 1.012
996.559 2.218 1.223
996.094 2.449 1.457
995.581 2.705 1.714
995.015 2.986 1.998
994.391 3.297 2.312
993.702 3.639 2.659
992.942 4.017 3.041
992.104 4.432 3.463
991.181 4.890 3.929
990.163 5.395 4.443
989.041 5.950 5.010
987.805 6.560 5.635
986.445 7.231 6.324
984.948 7.969 7.083
983.301 8.779 7.920
981.490 9.668 8.841
979.500 10.644 9.856
977.315 11.712 10.973
974.916 12.882 12.202
972.285 14.162 13.553
969.401 15.561 15.038
966.244 17.087 16.669
962.789 18.751 18.460
959.015 20.561 20.424
954.894 22.529 22.577
950.401 24.664 24.935
945.509 26.975 27.516
940.190 29.474 30.336
934.416 32.168 33.417
928.158 35.066 36.777
921.388 38.175 40.437
914.080 41.502 44.418
906.206 45.050 48.744
897.743 48.822 53.436
888.668 52.817 58.515
878.963 57.031 64.006
868.613 61.459 69.928
857.607 66.089 76.304
845.942 70.907 83.152
833.616 75.893 90.490
820.640 81.025 98.335
807.026 86.275 106.699
792.799 91.609 115.592
777.987 96.991 125.022
762.630 102.380 134.990
746.773 107.731 145.496
730.469 112.998 156.533
713.777 118.132 168.091
696.764 123.083 180.153
679.498 127.803 192.699
662.052 132.244 205.704
644.502 136.361 219.137
626.923 140.113 232.963
609.390 143.464 247.146
591.977 146.382 261.642
574.751 148.843 276.407
557.778 150.828 291.394
541.118 152.326 306.556
524.824 153.333 321.843
508.943 153.851 337.206
493.515 153.888 352.597
478.574 153.458 367.968
464.146 152.580 383.274
450.251 151.279 398.470
436.904 149.580 413.516
424.112 147.514 428.374
411.878 145.113 443.008
400.202 142.411 457.387
389.078 139.440 471.482
378.497 136.235 485.267
368.447 132.830 498.722
358.915 129.257 511.828
349.885 125.546 524.570
341.338 121.728 536.934
333.258 117.829 548.913
325.624 113.877 560.499
318.418 109.894 571.688
311.620 105.902 582.478
305.211 101.920 592.869
299.171 97.966 602.863
293.481 94.055 612.464
288.123 90.201 621.676
283.079 86.414 630.507
278.332 82.706 638.962
273.866 79.083 647.051
269.664 75.554 654.782
265.711 72.124 662.165
261.993 68.796 669.211
258.497 65.575 675.929
255.208 62.462 682.330
252.116 59.459 688.425
249.208 56.566 694.225
246.474 53.784 699.742
243.902 51.112 704.986
241.484 48.548 709.968
239.209 46.091 714.700
237.071 43.739 719.190
235.059 41.490 723.451
233.167 39.341 727.492
231.387 37.290 731.323
229.713 35.333 734.953
228.139 33.469 738.393
226.657 31.693 741.650
225.263 30.002 744.734
223.952 28.395 747.654
222.718 26.866 750.416
221.557 25.414 753.029
220.464 24.034 755.501
219.436 22.725 757.839
218.468 21.483 760.049
217.558 20.305 762.138
216.700 19.188 764.112
215.893 18.130 765.977
215.134 17.127 767.740
214.418 16.177 769.404
213.745 15.278 770.977
213.111 14.427 772.462
212.515 13.622 773.864
211.953 12.860 775.188
211.424 12.139 776.437
210.926 11.458 777.617
210.456 10.814 778.730
210.015 10.205 779.781
209.599 9.629 780.772
209.207 9.086 781.708
208.838 8.572 782.590
208.490 8.087 783.423
208.163 7.628 784.209
207.855 7.196 784.950
207.564 6.787 785.649
207.291 6.401 786.308
207.033 6.037 786.930
206.791 5.693 787.516
206.562 5.369 788.069
206.347 5.063 788.590
206.144 4.774 789.082
205.953 4.501 789.546
205.773 4.244 789.983
205.603 4.002 790.395
205.443 3.773 790.784
205.293 3.557 791.150
205.151 3.353 791.496
205.018 3.161 791.821
204.892 2.980 792.128
204.773 2.809 792.418
204.662 2.648 792.690
204.556 2.496 792.948
204.457 2.353 793.190
204.364 2.218 793.418
204.276 2.090 793.634
204.193 1.970 793.837
204.115 1.857 794.028
204.041 1.750 794.208
203.972 1.650 794.378
203.906 1.555 794.539
203.845 1.466 794.690
203.787 1.381 794.832
203.732 1.302 794.966
203.681 1.227 795.092
203.632 1.156 795.211
203.587 1.090 795.324
203.543 1.027 795.430
